Date,Cryptocurrency,Open,High,Low,Close,Adj Close,Volume,Symbol
2014-09-20,Litecoin,4.32919979095459,4.616079807281494,4.202189922332764,4.286439895629883,4.286439895629883,5490660,LTC-USD
2014-09-21,Litecoin,4.263070106506348,4.300129890441895,4.154990196228027,4.245920181274414,4.245920181274414,2931220,LTC-USD
2014-09-27,Litecoin,4.434390068054199,4.4892401695251465,4.3979902267456055,4.421800136566162,4.421800136566162,889525,LTC-USD
2014-09-28,Litecoin,4.424620151519775,4.457610130310059,4.202779769897461,4.233230113983154,4.233230113983154,1741170,LTC-USD
2014-10-04,Litecoin,4.173130035400391,4.284039974212647,3.888010025024414,3.938199996948242,3.938199996948242,6948810,LTC-USD
2014-10-05,Litecoin,3.9420700073242183,4.04341983795166,3.480600118637085,3.699140071868897,3.699140071868897,8143680,LTC-USD
2014-10-11,Litecoin,3.795919895172119,3.8389699459075928,3.67792010307312,3.77266001701355,3.77266001701355,3498570,LTC-USD
2014-10-12,Litecoin,3.7765800952911377,3.8514699935913086,3.696039915084839,3.850330114364624,3.850330114364624,2712090,LTC-USD
2014-10-18,Litecoin,3.991630077362061,4.0877299308776855,3.954710006713867,4.055759906768799,4.055759906768799,2386140,LTC-USD
2014-10-19,Litecoin,4.056429862976074,4.061460018157959,3.974440097808838,3.9889400005340576,3.9889400005340576,1576340,LTC-USD
2014-10-25,Litecoin,3.748729944229126,3.75984001159668,3.629040002822876,3.6675500869750977,3.6675500869750977,2370430,LTC-USD
2014-10-26,Litecoin,3.668950080871582,3.767369985580444,3.661530017852783,3.727180004119873,3.727180004119873,1986590,LTC-USD
2014-11-01,Litecoin,3.756659984588623,3.7571499347686768,3.5590999126434326,3.570590019226074,3.570590019226074,2476220,LTC-USD
2014-11-02,Litecoin,3.576879978179932,3.622910022735596,3.554500102996826,3.585099935531616,3.585099935531616,2031400,LTC-USD
2014-11-08,Litecoin,3.556649923324585,3.578749895095825,3.53233003616333,3.556260108947754,3.556260108947754,1508220,LTC-USD
2014-11-09,Litecoin,3.554840087890625,3.6373000144958496,3.5469400882720947,3.631459951400757,3.631459951400757,1873830,LTC-USD
2014-11-15,Litecoin,3.992259979248047,4.037660121917725,3.8097500801086426,3.854330062866211,3.854330062866211,3891770,LTC-USD
2014-11-16,Litecoin,3.8411900997161865,3.900949954986572,3.8259899616241455,3.8836300373077393,3.8836300373077393,2991050,LTC-USD
2014-11-22,Litecoin,3.501140117645264,3.620630025863648,3.489219903945923,3.523289918899536,3.523289918899536,2446510,LTC-USD
2014-11-23,Litecoin,3.522779941558838,3.611969947814941,3.5157299041748047,3.594360113143921,3.594360113143921,1686970,LTC-USD
2014-11-27,Litecoin,3.565069913864136,3.580250024795532,3.5527799129486084,3.559880018234253,3.559880018234253,1764690,LTC-USD
2014-11-29,Litecoin,3.604710102081299,3.636120080947876,3.570319890975952,3.586280107498169,3.586280107498169,2264640,LTC-USD
2014-11-30,Litecoin,3.5859599113464355,3.6141200065612793,3.562469959259033,3.576090097427368,3.576090097427368,1206290,LTC-USD
2014-12-06,Litecoin,3.615959882736206,3.628230094909668,3.603669881820679,3.614520072937012,3.614520072937012,1690520,LTC-USD
2014-12-07,Litecoin,3.615600109100342,3.749530076980591,3.60851001739502,3.7111599445343018,3.7111599445343018,1759240,LTC-USD
2014-12-13,Litecoin,3.486569881439209,3.489759922027588,3.459559917449951,3.476069927215576,3.476069927215576,2121910,LTC-USD
2014-12-14,Litecoin,3.4751999378204346,3.498739957809448,3.467659950256348,3.4804799556732178,3.4804799556732178,1547550,LTC-USD
2014-12-20,Litecoin,2.8671000003814697,2.943690061569214,2.8671000003814697,2.9235799312591557,2.9235799312591557,2591650,LTC-USD
2014-12-21,Litecoin,2.9146299362182617,2.920370101928711,2.8415799140930176,2.8503899574279785,2.8503899574279785,2187630,LTC-USD
2014-12-25,Litecoin,2.735949993133545,2.752739906311035,2.670909881591797,2.6994500160217285,2.6994500160217285,1640910,LTC-USD
2014-12-27,Litecoin,2.7795801162719727,2.795370101928711,2.7029600143432617,2.716949939727783,2.716949939727783,2180800,LTC-USD
2014-12-28,Litecoin,2.719000101089477,2.7618300914764404,2.6728100776672363,2.7330400943756104,2.7330400943756104,1701950,LTC-USD
2015-01-01,Litecoin,2.724210023880005,2.724210023880005,2.689769983291626,2.699049949645996,2.699049949645996,770693,LTC-USD
2015-01-03,Litecoin,2.6664600372314453,2.6664600372314453,2.13316011428833,2.13316011428833,2.13316011428833,5193080,LTC-USD
2015-01-04,Litecoin,2.110219955444336,2.154459953308105,1.912410020828247,1.9566800594329836,1.9566800594329836,3888140,LTC-USD
2015-01-10,Litecoin,1.9699900150299072,1.9803400039672847,1.6218600273132324,1.6533199548721311,1.6533199548721311,2911190,LTC-USD
2015-01-11,Litecoin,1.653599977493286,1.8782099485397337,1.6439900398254397,1.724560022354126,1.724560022354126,2581500,LTC-USD
2015-01-17,Litecoin,1.3977999687194824,1.4036200046539309,1.2521899938583374,1.2934099435806274,1.2934099435806274,1514960,LTC-USD
2015-01-18,Litecoin,1.296030044555664,1.3722800016403198,1.2333600521087646,1.3333300352096558,1.3333300352096558,1694820,LTC-USD
2015-01-19,Litecoin,1.328570008277893,1.3593000173568726,1.306380033493042,1.3417799472808838,1.3417799472808838,728641,LTC-USD
2015-01-24,Litecoin,1.4306800365447998,1.8870099782943728,1.4191299676895142,1.8437999486923216,1.8437999486923216,4858920,LTC-USD
2015-01-25,Litecoin,1.8420499563217163,2.3749499320983887,1.8394999504089355,2.248300075531006,2.248300075531006,9178540,LTC-USD
2015-01-31,Litecoin,1.8961299657821653,1.9399199485778809,1.8705099821090696,1.8734999895095823,1.8734999895095823,1205140,LTC-USD
2015-02-01,Litecoin,1.8787800073623655,1.8809800148010252,1.6791499853134155,1.80351996421814,1.80351996421814,2661610,LTC-USD
2015-02-07,Litecoin,1.759559988975525,1.7917399406433103,1.7426899671554563,1.7817200422286987,1.7817200422286987,1272440,LTC-USD
2015-02-08,Litecoin,1.7867900133132937,1.8136500120162964,1.7580900192260742,1.7835899591445925,1.7835899591445925,793432,LTC-USD
2015-02-14,Litecoin,1.8229299783706665,1.963170051574707,1.8213800191879272,1.937690019607544,1.937690019607544,2967890,LTC-USD
2015-02-15,Litecoin,1.940029978752136,2.0295300483703613,1.7940800189971924,1.8420000076293943,1.8420000076293943,3678900,LTC-USD
2015-02-16,Litecoin,1.844480037689209,1.848620057106018,1.7956299781799316,1.796280026435852,1.796280026435852,1766700,LTC-USD
2015-02-21,Litecoin,1.848960041999817,1.8656599521636963,1.8350900411605835,1.8489099740982056,1.8489099740982056,934224,LTC-USD
2015-02-22,Litecoin,1.8498799800872805,1.8663599491119385,1.7851500511169434,1.7962000370025637,1.7962000370025637,1413400,LTC-USD
2015-02-28,Litecoin,1.849179983139038,1.8492100238800049,1.8194600343704224,1.8407299518585205,1.8407299518585205,1026120,LTC-USD
2015-03-01,Litecoin,1.845759987831116,1.911679983139038,1.807829976081848,1.891569972038269,1.891569972038269,1697220,LTC-USD
2015-03-07,Litecoin,1.893589973449707,1.9193400144577024,1.882179975509644,1.9105000495910645,1.9105000495910645,1176540,LTC-USD
2015-03-08,Litecoin,1.9135299921035769,1.922860026359558,1.877529978752136,1.891860008239746,1.891860008239746,1281400,LTC-USD
2015-03-14,Litecoin,2.0040900707244877,2.013979911804199,1.993149995803833,1.9960500001907349,1.9960500001907349,1524990,LTC-USD
2015-03-15,Litecoin,1.994619965553284,2.034019947052002,1.9904500246047971,2.0188300609588623,2.0188300609588623,1035700,LTC-USD
2015-03-21,Litecoin,1.76691997051239,1.7678200006484983,1.7255200147628784,1.746690034866333,1.746690034866333,1025410,LTC-USD
2015-03-22,Litecoin,1.7458300590515137,1.797719955444336,1.7400100231170654,1.797719955444336,1.797719955444336,1072060,LTC-USD
2015-03-28,Litecoin,1.682669997215271,1.7163900136947632,1.677340030670166,1.703660011291504,1.703660011291504,843595,LTC-USD
2015-03-29,Litecoin,1.7045899629592896,1.70618999004364,1.6435099840164185,1.6556799411773682,1.6556799411773682,1242080,LTC-USD
2015-04-03,Litecoin,1.6768200397491455,1.7044600248336792,1.6750199794769287,1.6985100507736206,1.6985100507736206,1053650,LTC-USD
2015-04-04,Litecoin,1.6998300552368164,1.7043700218200684,1.6736600399017334,1.687849998474121,1.687849998474121,794158,LTC-USD
2015-04-05,Litecoin,1.6825100183486938,1.711549997329712,1.675130009651184,1.700819969177246,1.700819969177246,1012920,LTC-USD
2015-04-11,Litecoin,1.5228300094604492,1.5376800298690796,1.4390000104904177,1.4591100215911863,1.4591100215911863,1329260,LTC-USD
2015-04-12,Litecoin,1.458789944648743,1.4872299432754517,1.4546899795532229,1.4624700546264648,1.4624700546264648,724290,LTC-USD
2015-04-18,Litecoin,1.4098399877548218,1.422719955444336,1.388129949569702,1.4099299907684326,1.4099299907684326,733823,LTC-USD
2015-04-19,Litecoin,1.4098700284957886,1.425950050354004,1.379420042037964,1.3891700506210327,1.3891700506210327,984396,LTC-USD
2015-04-25,Litecoin,1.4204100370407104,1.4300899505615234,1.3967000246047974,1.4029099941253662,1.4029099941253662,868387,LTC-USD
2015-04-26,Litecoin,1.399500012397766,1.402609944343567,1.3040200471878052,1.3211699724197388,1.3211699724197388,1292150,LTC-USD
2015-05-02,Litecoin,1.4072500467300415,1.4259999990463257,1.4018900394439695,1.42153000831604,1.42153000831604,807758,LTC-USD
2015-05-03,Litecoin,1.419800043106079,1.452739953994751,1.4139599800109863,1.4327000379562378,1.4327000379562378,1673860,LTC-USD
2015-05-09,Litecoin,1.4804799556732178,1.4906599521636963,1.4416600465774536,1.4483100175857544,1.4483100175857544,1323730,LTC-USD
2015-05-10,Litecoin,1.448300004005432,1.4538700580596924,1.4227299690246582,1.4387400150299072,1.4387400150299072,993855,LTC-USD
2015-05-16,Litecoin,1.454699993133545,1.4547699689865112,1.3995599746704102,1.4461300373077393,1.4461300373077393,757344,LTC-USD
2015-05-17,Litecoin,1.446470022201538,1.4589500427246094,1.4463499784469604,1.4541399478912354,1.4541399478912354,481714,LTC-USD
2015-05-23,Litecoin,1.8313000202178955,1.9041399955749512,1.7719199657440186,1.786460041999817,1.786460041999817,2701800,LTC-USD
2015-05-24,Litecoin,1.7873799800872805,1.839100003242493,1.7872300148010254,1.831169962882996,1.831169962882996,1725070,LTC-USD
2015-05-25,Litecoin,1.8334100246429443,1.8441699743270876,1.787619948387146,1.803320050239563,1.803320050239563,1457180,LTC-USD
2015-05-30,Litecoin,1.830170035362244,1.838189959526062,1.8080600500106807,1.8131200075149536,1.8131200075149536,1327450,LTC-USD
2015-05-31,Litecoin,1.8120900392532349,1.8137400150299072,1.629580020904541,1.6370799541473389,1.6370799541473389,2071950,LTC-USD
2015-06-06,Litecoin,1.7610599994659424,1.7849500179290771,1.7508200407028198,1.759809970855713,1.759809970855713,1184500,LTC-USD
